nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
ITC,IT,4.666666666666667,Refuse to Say,,6.0,4.0,0,44.0,0,-1.9000001,5.5,1
ITI,IT,4.666666666666667,Valid Party Vote,0.0,6.0,7.0,1,30.0,0,-3.1,4.2999997,1
ITC,IT,6.0,Valid Party Vote,0.0,6.0,7.0,0,82.0,0,-1.9000001,5.5,1
ITG,IT,6.333333333333333,Valid Party Vote,1.0,3.0,4.0,0,41.0,1,-5.1000004,6.5,0
ITI,IT,3.3333333333333335,Ineligible / Not Applicable,,4.0,2.0,1,54.0,0,-3.1,4.2999997,1
ITF,IT,5.666666666666667,Refuse to Say,,5.0,7.0,1,70.0,0,-5.0,9.4,0
ITH,IT,5.0,Valid Party Vote,1.0,4.0,2.0,1,52.0,-1,-1.8000002,4.3999996,1
ITF,IT,3.6666666666666665,Valid Party Vote,0.0,5.0,3.0,0,70.0,0,-5.0,9.4,0
ITH,IT,6.666666666666667,Valid Party Vote,1.0,0.0,4.0,0,78.0,-1,-1.8000002,4.3999996,1
ITC,IT,6.0,Refuse to Say,,7.0,4.0,1,61.0,0,-1.9000001,5.5,1
ITH,IT,6.333333333333333,Refuse to Say,,,4.0,1,51.0,-1,-1.8000002,4.3999996,1
ITC,IT,6.666666666666667,Ineligible / Not Applicable,,8.0,7.0,0,34.0,0,-1.9000001,5.5,1
ITC,IT,6.0,Valid Party Vote,0.0,5.0,2.0,0,50.0,0,-1.9000001,5.5,1
ITF,IT,2.6666666666666665,Refuse to Say,,3.0,1.0,1,77.0,0,-5.0,9.4,0
ITH,IT,2.3333333333333335,Ineligible / Not Applicable,,0.0,3.0,0,54.0,-1,-1.8000002,4.3999996,1
ITF,IT,2.3333333333333335,Valid Party Vote,0.0,4.0,1.0,1,74.0,0,-5.0,9.4,0
ITF,IT,4.666666666666667,Valid Party Vote,1.0,4.0,4.0,1,29.0,0,-5.0,9.4,0
ITI,IT,6.0,Ineligible / Not Applicable,,6.0,2.0,0,41.0,0,-3.1,4.2999997,1
ITH,IT,4.666666666666667,Valid Party Vote,0.0,5.0,1.0,1,89.0,-1,-1.8000002,4.3999996,1
ITC,IT,5.333333333333333,Refuse to Say,,5.0,7.0,1,40.0,0,-1.9000001,5.5,1
ITF,IT,4.333333333333333,Ineligible / Not Applicable,,7.0,2.0,1,16.0,0,-5.0,9.4,0
ITH,IT,4.666666666666667,Ineligible / Not Applicable,,4.0,7.0,0,44.0,-1,-1.8000002,4.3999996,1
ITF,IT,1.0,Ineligible / Not Applicable,,6.0,1.0,0,75.0,0,-5.0,9.4,0
ITI,IT,6.0,Ineligible / Not Applicable,,6.0,2.0,0,69.0,0,-3.1,4.2999997,1
ITC,IT,4.666666666666667,Ineligible / Not Applicable,,5.0,2.0,1,62.0,0,-1.9000001,5.5,1
ITC,IT,4.0,Refuse to Say,,6.0,3.0,0,71.0,0,-1.9000001,5.5,1
ITH,IT,7.0,Valid Party Vote,0.0,6.0,2.0,0,67.0,-1,-1.8000002,4.3999996,1
ITF,IT,2.0,Ineligible / Not Applicable,,2.0,1.0,1,83.0,0,-5.0,9.4,0
ITH,IT,3.6666666666666665,Ineligible / Not Applicable,,0.0,2.0,1,73.0,-1,-1.8000002,4.3999996,1
ITC,IT,4.666666666666667,Valid Party Vote,1.0,0.0,2.0,1,45.0,0,-1.9000001,5.5,1
ITH,IT,1.6666666666666667,Ineligible / Not Applicable,,2.0,4.0,0,28.0,-1,-1.8000002,4.3999996,1
ITC,IT,7.333333333333333,Valid Party Vote,1.0,7.0,7.0,0,26.0,0,-1.9000001,5.5,1
ITF,IT,0.0,Refuse to Say,,2.0,2.0,1,55.0,0,-5.0,9.4,0
ITI,IT,4.666666666666667,Ineligible / Not Applicable,,3.0,2.0,1,74.0,0,-3.1,4.2999997,1
ITC,IT,0.0,Ineligible / Not Applicable,,0.0,4.0,0,59.0,0,-1.9000001,5.5,1
ITH,IT,6.333333333333333,Refuse to Say,,10.0,4.0,1,67.0,-1,-1.8000002,4.3999996,1
ITI,IT,7.333333333333333,Valid Party Vote,1.0,0.0,2.0,1,60.0,0,-3.1,4.2999997,1
ITI,IT,8.333333333333334,Ineligible / Not Applicable,,8.0,4.0,0,22.0,0,-3.1,4.2999997,1
ITH,IT,5.333333333333333,Refuse to Say,,4.0,2.0,1,73.0,-1,-1.8000002,4.3999996,1
ITI,IT,6.0,Ineligible / Not Applicable,,7.0,2.0,1,55.0,0,-3.1,4.2999997,1
ITF,IT,3.3333333333333335,Valid Party Vote,0.0,5.0,4.0,1,21.0,0,-5.0,9.4,0
ITH,IT,5.666666666666667,Valid Party Vote,1.0,4.0,3.0,0,54.0,-1,-1.8000002,4.3999996,1
ITG,IT,2.6666666666666665,Ineligible / Not Applicable,,3.0,2.0,0,69.0,1,-5.1000004,6.5,0
ITF,IT,5.666666666666667,Refuse to Say,,6.0,7.0,0,49.0,0,-5.0,9.4,0
ITC,IT,6.333333333333333,Valid Party Vote,0.0,5.0,2.0,1,75.0,0,-1.9000001,5.5,1
ITI,IT,3.6666666666666665,Valid Party Vote,0.0,5.0,4.0,0,57.0,0,-3.1,4.2999997,1
ITI,IT,0.0,Ineligible / Not Applicable,,5.0,1.0,0,78.0,0,-3.1,4.2999997,1
ITF,IT,2.3333333333333335,Ineligible / Not Applicable,,0.0,2.0,1,64.0,0,-5.0,9.4,0
ITC,IT,6.0,Valid Party Vote,1.0,5.0,5.0,1,22.0,0,-1.9000001,5.5,1
ITI,IT,6.666666666666667,Refuse to Say,,7.0,7.0,0,41.0,0,-3.1,4.2999997,1
ITC,IT,5.333333333333333,Valid Party Vote,0.0,5.0,6.0,1,34.0,0,-1.9000001,5.5,1
ITG,IT,0.3333333333333333,Ineligible / Not Applicable,,9.0,2.0,0,17.0,1,-5.1000004,6.5,0
ITF,IT,1.3333333333333333,Ineligible / Not Applicable,,4.0,2.0,1,45.0,0,-5.0,9.4,0
ITC,IT,5.333333333333333,Valid Party Vote,0.0,5.0,4.0,1,41.0,0,-1.9000001,5.5,1
ITG,IT,6.666666666666667,Valid Party Vote,1.0,1.0,3.0,0,63.0,1,-5.1000004,6.5,0
ITI,IT,2.3333333333333335,Ineligible / Not Applicable,,10.0,2.0,0,16.0,0,-3.1,4.2999997,1
ITI,IT,4.333333333333333,Refuse to Say,,4.0,6.0,0,51.0,0,-3.1,4.2999997,1
ITH,IT,7.333333333333333,Ineligible / Not Applicable,,8.0,1.0,0,85.0,-1,-1.8000002,4.3999996,1
ITC,IT,1.0,Refuse to Say,,5.0,5.0,1,59.0,0,-1.9000001,5.5,1
ITC,IT,5.0,Valid Party Vote,0.0,3.0,4.0,0,23.0,0,-1.9000001,5.5,1
ITF,IT,7.0,Ineligible / Not Applicable,,5.0,1.0,0,37.0,0,-5.0,9.4,0
ITF,IT,3.0,Valid Party Vote,1.0,5.0,4.0,1,44.0,0,-5.0,9.4,0
ITC,IT,2.0,Valid Party Vote,0.0,0.0,3.0,1,62.0,0,-1.9000001,5.5,1
ITH,IT,5.0,Ineligible / Not Applicable,,0.0,4.0,1,43.0,-1,-1.8000002,4.3999996,1
ITC,IT,3.6666666666666665,Ineligible / Not Applicable,,6.0,4.0,1,43.0,0,-1.9000001,5.5,1
ITC,IT,7.0,Valid Party Vote,1.0,4.0,3.0,1,28.0,0,-1.9000001,5.5,1
ITC,IT,0.0,Ineligible / Not Applicable,,0.0,2.0,0,83.0,0,-1.9000001,5.5,1
ITH,IT,3.0,Refuse to Say,,4.0,2.0,0,75.0,-1,-1.8000002,4.3999996,1
ITG,IT,0.0,Refuse to Say,,0.0,,0,57.0,1,-5.1000004,6.5,0
ITG,IT,5.0,Valid Party Vote,0.0,5.0,7.0,1,56.0,1,-5.1000004,6.5,0
ITI,IT,1.6666666666666667,Ineligible / Not Applicable,,3.0,3.0,0,21.0,0,-3.1,4.2999997,1
ITC,IT,7.0,Valid Party Vote,0.0,3.0,3.0,1,46.0,0,-1.9000001,5.5,1
ITH,IT,7.333333333333333,Valid Party Vote,0.0,6.0,4.0,0,71.0,-1,-1.8000002,4.3999996,1
ITH,IT,7.0,Valid Party Vote,0.0,,1.0,0,80.0,-1,-1.8000002,4.3999996,1
ITG,IT,2.3333333333333335,Valid Party Vote,1.0,,2.0,1,68.0,1,-5.1000004,6.5,0
ITC,IT,6.333333333333333,Valid Party Vote,0.0,8.0,7.0,1,63.0,0,-1.9000001,5.5,1
ITI,IT,2.6666666666666665,Don't Know,,5.0,2.0,0,48.0,0,-3.1,4.2999997,1
ITC,IT,1.3333333333333333,Ineligible / Not Applicable,,7.0,2.0,0,18.0,0,-1.9000001,5.5,1
ITF,IT,3.0,Ineligible / Not Applicable,,5.0,2.0,1,61.0,0,-5.0,9.4,0
ITG,IT,4.333333333333333,Valid Party Vote,0.0,5.0,2.0,1,48.0,1,-5.1000004,6.5,0
ITI,IT,4.0,Ineligible / Not Applicable,,5.0,4.0,1,21.0,0,-3.1,4.2999997,1
ITC,IT,6.333333333333333,Valid Party Vote,0.0,5.0,7.0,0,50.0,0,-1.9000001,5.5,1
ITC,IT,1.3333333333333333,Valid Party Vote,1.0,5.0,2.0,1,85.0,0,-1.9000001,5.5,1
ITF,IT,1.6666666666666667,Refuse to Say,,5.0,4.0,0,53.0,0,-5.0,9.4,0
ITF,IT,,Ineligible / Not Applicable,,8.0,2.0,1,19.0,0,-5.0,9.4,0
ITC,IT,4.666666666666667,Refuse to Say,,5.0,4.0,0,53.0,0,-1.9000001,5.5,1
ITC,IT,5.666666666666667,Valid Party Vote,1.0,9.0,6.0,1,31.0,0,-1.9000001,5.5,1
ITC,IT,7.0,Valid Party Vote,1.0,2.0,6.0,0,36.0,0,-1.9000001,5.5,1
ITG,IT,6.666666666666667,Refuse to Say,,3.0,4.0,0,55.0,1,-5.1000004,6.5,0
ITC,IT,0.3333333333333333,Refuse to Say,,5.0,5.0,0,56.0,0,-1.9000001,5.5,1
ITI,IT,5.333333333333333,Ineligible / Not Applicable,,6.0,3.0,1,49.0,0,-3.1,4.2999997,1
ITG,IT,5.0,Don't Know,,0.0,4.0,1,74.0,1,-5.1000004,6.5,0
ITG,IT,6.333333333333333,Valid Party Vote,0.0,10.0,4.0,0,49.0,1,-5.1000004,6.5,0
ITH,IT,4.0,Valid Party Vote,1.0,0.0,2.0,1,74.0,-1,-1.8000002,4.3999996,1
ITC,IT,6.5,Valid Party Vote,0.0,3.0,4.0,1,30.0,0,-1.9000001,5.5,1
ITC,IT,6.333333333333333,Ineligible / Not Applicable,,6.0,4.0,1,26.0,0,-1.9000001,5.5,1
ITC,IT,0.3333333333333333,Valid Party Vote,1.0,5.0,2.0,1,52.0,0,-1.9000001,5.5,1
ITI,IT,2.6666666666666665,Ineligible / Not Applicable,,3.0,2.0,1,69.0,0,-3.1,4.2999997,1
ITC,IT,7.0,Valid Party Vote,1.0,8.0,6.0,0,40.0,0,-1.9000001,5.5,1
ITC,IT,4.333333333333333,Refuse to Say,,4.0,2.0,1,78.0,0,-1.9000001,5.5,1
ITI,IT,2.0,Refuse to Say,,1.0,4.0,1,30.0,0,-3.1,4.2999997,1
ITC,IT,2.3333333333333335,Valid Party Vote,0.0,2.0,2.0,0,58.0,0,-1.9000001,5.5,1
ITC,IT,1.3333333333333333,Valid Party Vote,1.0,0.0,5.0,0,44.0,0,-1.9000001,5.5,1
ITF,IT,5.666666666666667,Ineligible / Not Applicable,,3.0,1.0,0,80.0,0,-5.0,9.4,0
ITH,IT,5.333333333333333,Valid Party Vote,0.0,3.0,1.0,1,68.0,-1,-1.8000002,4.3999996,1
ITC,IT,4.333333333333333,Ineligible / Not Applicable,,7.0,1.0,0,77.0,0,-1.9000001,5.5,1
ITH,IT,6.0,Valid Party Vote,0.0,6.0,4.0,0,49.0,-1,-1.8000002,4.3999996,1
ITG,IT,2.0,Refuse to Say,,5.0,6.0,1,26.0,1,-5.1000004,6.5,0
ITI,IT,5.333333333333333,Valid Party Vote,1.0,4.0,4.0,1,64.0,0,-3.1,4.2999997,1
ITF,IT,5.0,Valid Party Vote,1.0,5.0,4.0,0,73.0,0,-5.0,9.4,0
ITC,IT,4.0,Valid Party Vote,0.0,7.0,7.0,0,56.0,0,-1.9000001,5.5,1
ITC,IT,5.666666666666667,Refuse to Say,,5.0,2.0,1,62.0,0,-1.9000001,5.5,1
ITG,IT,2.0,Ineligible / Not Applicable,,0.0,2.0,0,79.0,1,-5.1000004,6.5,0
ITC,IT,3.6666666666666665,Ineligible / Not Applicable,,4.0,2.0,0,71.0,0,-1.9000001,5.5,1
ITC,IT,5.666666666666667,Valid Party Vote,1.0,3.0,6.0,0,32.0,0,-1.9000001,5.5,1
ITI,IT,5.333333333333333,Ineligible / Not Applicable,,2.0,2.0,1,59.0,0,-3.1,4.2999997,1
ITC,IT,5.666666666666667,Valid Party Vote,0.0,8.0,3.0,0,63.0,0,-1.9000001,5.5,1
ITG,IT,0.0,Ineligible / Not Applicable,,0.0,2.0,1,60.0,1,-5.1000004,6.5,0
ITF,IT,1.6666666666666667,Ineligible / Not Applicable,,4.0,3.0,1,65.0,0,-5.0,9.4,0
ITC,IT,6.0,Valid Party Vote,1.0,4.0,4.0,1,38.0,0,-1.9000001,5.5,1
ITI,IT,6.5,Refuse to Say,,,7.0,1,31.0,0,-3.1,4.2999997,1
ITI,IT,3.3333333333333335,Refuse to Say,,6.0,4.0,0,61.0,0,-3.1,4.2999997,1
ITI,IT,6.333333333333333,Ineligible / Not Applicable,,9.0,2.0,0,44.0,0,-3.1,4.2999997,1
ITC,IT,3.3333333333333335,Valid Party Vote,1.0,0.0,2.0,0,68.0,0,-1.9000001,5.5,1
ITF,IT,0.0,Refuse to Say,,5.0,4.0,1,20.0,0,-5.0,9.4,0
ITH,IT,7.0,Valid Party Vote,0.0,6.0,7.0,0,61.0,-1,-1.8000002,4.3999996,1
ITI,IT,6.333333333333333,Ineligible / Not Applicable,,4.0,4.0,1,42.0,0,-3.1,4.2999997,1
ITG,IT,5.333333333333333,Refuse to Say,,6.0,4.0,1,24.0,1,-5.1000004,6.5,0
ITC,IT,3.6666666666666665,Refuse to Say,,4.0,2.0,1,74.0,0,-1.9000001,5.5,1
ITG,IT,4.666666666666667,Valid Party Vote,0.0,6.0,4.0,1,38.0,1,-5.1000004,6.5,0
ITF,IT,5.333333333333333,Valid Party Vote,0.0,5.0,7.0,1,45.0,0,-5.0,9.4,0
ITC,IT,7.0,Valid Party Vote,1.0,5.0,6.0,0,41.0,0,-1.9000001,5.5,1
ITF,IT,4.0,Ineligible / Not Applicable,,5.0,2.0,0,17.0,0,-5.0,9.4,0
ITH,IT,7.666666666666667,Valid Party Vote,0.0,8.0,2.0,0,52.0,-1,-1.8000002,4.3999996,1
ITH,IT,5.0,Ineligible / Not Applicable,,6.0,6.0,1,32.0,-1,-1.8000002,4.3999996,1
ITG,IT,3.6666666666666665,Refuse to Say,,4.0,2.0,0,51.0,1,-5.1000004,6.5,0
ITC,IT,5.0,Ineligible / Not Applicable,,5.0,2.0,0,17.0,0,-1.9000001,5.5,1
ITG,IT,1.6666666666666667,Ineligible / Not Applicable,,,2.0,1,16.0,1,-5.1000004,6.5,0
ITC,IT,4.666666666666667,Refuse to Say,,4.0,2.0,0,57.0,0,-1.9000001,5.5,1
ITH,IT,5.0,Ineligible / Not Applicable,,5.0,4.0,0,34.0,-1,-1.8000002,4.3999996,1
ITC,IT,5.666666666666667,Ineligible / Not Applicable,,9.0,4.0,0,41.0,0,-1.9000001,5.5,1
ITF,IT,5.0,Valid Party Vote,0.0,6.0,2.0,0,76.0,0,-5.0,9.4,0
ITC,IT,4.666666666666667,Refuse to Say,,5.0,4.0,1,65.0,0,-1.9000001,5.5,1
ITH,IT,3.6666666666666665,Valid Party Vote,0.0,5.0,4.0,0,22.0,-1,-1.8000002,4.3999996,1
ITH,IT,5.0,Don't Know,,10.0,4.0,0,64.0,-1,-1.8000002,4.3999996,1
ITF,IT,0.0,Refuse to Say,,0.0,2.0,1,61.0,0,-5.0,9.4,0
ITC,IT,5.0,Valid Party Vote,1.0,5.0,4.0,1,19.0,0,-1.9000001,5.5,1
ITF,IT,4.666666666666667,Valid Party Vote,0.0,6.0,2.0,0,68.0,0,-5.0,9.4,0
ITH,IT,5.0,Ineligible / Not Applicable,,5.0,4.0,0,26.0,-1,-1.8000002,4.3999996,1
ITI,IT,7.0,Valid Party Vote,0.0,5.0,4.0,1,64.0,0,-3.1,4.2999997,1
ITF,IT,2.6666666666666665,Ineligible / Not Applicable,,5.0,4.0,0,41.0,0,-5.0,9.4,0
ITH,IT,3.6666666666666665,Valid Party Vote,1.0,3.0,4.0,1,22.0,-1,-1.8000002,4.3999996,1
ITG,IT,6.0,Valid Party Vote,0.0,5.0,4.0,1,54.0,1,-5.1000004,6.5,0
ITC,IT,5.0,Ineligible / Not Applicable,,5.0,4.0,0,22.0,0,-1.9000001,5.5,1
ITG,IT,3.6666666666666665,Refuse to Say,,4.0,1.0,1,78.0,1,-5.1000004,6.5,0
ITG,IT,2.3333333333333335,Ineligible / Not Applicable,,5.0,2.0,0,19.0,1,-5.1000004,6.5,0
ITI,IT,7.333333333333333,Ineligible / Not Applicable,,9.0,2.0,0,17.0,0,-3.1,4.2999997,1
ITC,IT,5.333333333333333,Valid Party Vote,0.0,4.0,1.0,0,89.0,0,-1.9000001,5.5,1
ITC,IT,3.6666666666666665,Ineligible / Not Applicable,,3.0,4.0,1,27.0,0,-1.9000001,5.5,1
ITC,IT,7.333333333333333,Ineligible / Not Applicable,,7.0,3.0,0,67.0,0,-1.9000001,5.5,1
ITC,IT,3.0,Ineligible / Not Applicable,,7.0,2.0,1,52.0,0,-1.9000001,5.5,1
ITC,IT,1.3333333333333333,Refuse to Say,,2.0,1.0,1,76.0,0,-1.9000001,5.5,1
ITH,IT,5.0,Valid Party Vote,0.0,5.0,2.0,0,59.0,-1,-1.8000002,4.3999996,1
ITG,IT,1.6666666666666667,Don't Know,,5.0,4.0,1,67.0,1,-5.1000004,6.5,0
ITF,IT,4.333333333333333,Refuse to Say,,2.0,2.0,0,70.0,0,-5.0,9.4,0
ITC,IT,2.0,Refuse to Say,,5.0,3.0,0,67.0,0,-1.9000001,5.5,1
ITF,IT,4.0,Ineligible / Not Applicable,,4.0,2.0,1,22.0,0,-5.0,9.4,0
ITF,IT,5.333333333333333,Ineligible / Not Applicable,,4.0,2.0,1,77.0,0,-5.0,9.4,0
ITC,IT,5.666666666666667,Valid Party Vote,1.0,2.0,6.0,1,29.0,0,-1.9000001,5.5,1
ITC,IT,6.333333333333333,Ineligible / Not Applicable,,4.0,4.0,1,30.0,0,-1.9000001,5.5,1
ITI,IT,4.333333333333333,Ineligible / Not Applicable,,3.0,2.0,1,16.0,0,-3.1,4.2999997,1
ITH,IT,4.333333333333333,Valid Party Vote,0.0,7.0,4.0,1,65.0,-1,-1.8000002,4.3999996,1
ITH,IT,4.0,Valid Party Vote,0.0,8.0,4.0,0,56.0,-1,-1.8000002,4.3999996,1
ITH,IT,5.666666666666667,Valid Party Vote,0.0,6.0,7.0,1,71.0,-1,-1.8000002,4.3999996,1
ITH,IT,1.3333333333333333,Don't Know,,0.0,1.0,0,81.0,-1,-1.8000002,4.3999996,1
ITG,IT,1.0,Ineligible / Not Applicable,,6.0,2.0,0,65.0,1,-5.1000004,6.5,0
ITC,IT,7.0,Valid Party Vote,1.0,,7.0,1,61.0,0,-1.9000001,5.5,1
ITG,IT,5.333333333333333,Ineligible / Not Applicable,,5.0,2.0,1,18.0,1,-5.1000004,6.5,0
ITC,IT,3.0,Ineligible / Not Applicable,,8.0,3.0,1,42.0,0,-1.9000001,5.5,1
ITF,IT,7.0,Ineligible / Not Applicable,,6.0,7.0,1,33.0,0,-5.0,9.4,0
ITI,IT,5.333333333333333,Valid Party Vote,1.0,5.0,2.0,0,43.0,0,-3.1,4.2999997,1
ITI,IT,5.666666666666667,Ineligible / Not Applicable,,4.0,2.0,1,42.0,0,-3.1,4.2999997,1
ITC,IT,4.666666666666667,Valid Party Vote,0.0,6.0,4.0,0,77.0,0,-1.9000001,5.5,1
ITG,IT,5.0,Ineligible / Not Applicable,,5.0,1.0,1,84.0,1,-5.1000004,6.5,0
ITH,IT,6.0,Ineligible / Not Applicable,,5.0,4.0,1,57.0,-1,-1.8000002,4.3999996,1
ITF,IT,8.0,Valid Party Vote,0.0,7.0,3.0,1,23.0,0,-5.0,9.4,0
ITC,IT,9.0,Ineligible / Not Applicable,,10.0,4.0,0,20.0,0,-1.9000001,5.5,1
ITC,IT,6.666666666666667,Refuse to Say,,5.0,4.0,0,53.0,0,-1.9000001,5.5,1
ITF,IT,1.6666666666666667,Don't Know,,2.0,1.0,1,62.0,0,-5.0,9.4,0
ITC,IT,3.0,Refuse to Say,,5.0,3.0,0,57.0,0,-1.9000001,5.5,1
ITH,IT,5.666666666666667,Refuse to Say,,0.0,4.0,0,,-1,-1.8000002,4.3999996,1
ITC,IT,6.333333333333333,Valid Party Vote,1.0,6.0,6.0,1,21.0,0,-1.9000001,5.5,1
ITI,IT,7.0,Ineligible / Not Applicable,,8.0,4.0,1,36.0,0,-3.1,4.2999997,1
ITF,IT,6.333333333333333,Ineligible / Not Applicable,,7.0,,1,34.0,0,-5.0,9.4,0
ITF,IT,4.0,Don't Know,,0.0,1.0,0,76.0,0,-5.0,9.4,0
ITF,IT,4.666666666666667,Valid Party Vote,0.0,6.0,4.0,0,55.0,0,-5.0,9.4,0
ITC,IT,3.6666666666666665,Valid Party Vote,0.0,7.0,4.0,0,32.0,0,-1.9000001,5.5,1
ITH,IT,6.333333333333333,Valid Party Vote,0.0,5.0,7.0,0,67.0,-1,-1.8000002,4.3999996,1
ITH,IT,7.666666666666667,Valid Party Vote,1.0,10.0,4.0,1,50.0,-1,-1.8000002,4.3999996,1
ITH,IT,3.0,Ineligible / Not Applicable,,4.0,4.0,0,55.0,-1,-1.8000002,4.3999996,1
ITH,IT,5.333333333333333,Ineligible / Not Applicable,,4.0,2.0,1,64.0,-1,-1.8000002,4.3999996,1
ITF,IT,6.333333333333333,Valid Party Vote,1.0,4.0,4.0,1,38.0,0,-5.0,9.4,0
ITG,IT,0.0,Valid Party Vote,0.0,1.0,1.0,0,72.0,1,-5.1000004,6.5,0
ITF,IT,6.333333333333333,Valid Party Vote,1.0,5.0,4.0,0,49.0,0,-5.0,9.4,0
ITC,IT,5.333333333333333,Ineligible / Not Applicable,,6.0,4.0,1,50.0,0,-1.9000001,5.5,1
ITI,IT,3.6666666666666665,Ineligible / Not Applicable,,2.0,2.0,1,87.0,0,-3.1,4.2999997,1
ITH,IT,5.0,Valid Party Vote,0.0,4.0,4.0,0,19.0,-1,-1.8000002,4.3999996,1
ITF,IT,0.3333333333333333,Ineligible / Not Applicable,,3.0,2.0,0,70.0,0,-5.0,9.4,0
ITC,IT,6.0,Valid Party Vote,0.0,2.0,6.0,0,30.0,0,-1.9000001,5.5,1
ITF,IT,4.666666666666667,Valid Party Vote,1.0,5.0,6.0,0,27.0,0,-5.0,9.4,0
ITI,IT,6.666666666666667,Valid Party Vote,0.0,5.0,6.0,1,42.0,0,-3.1,4.2999997,1
ITF,IT,5.0,Valid Party Vote,0.0,6.0,4.0,1,26.0,0,-5.0,9.4,0
ITG,IT,7.333333333333333,Valid Party Vote,1.0,2.0,4.0,0,74.0,1,-5.1000004,6.5,0
ITI,IT,6.666666666666667,Valid Party Vote,0.0,3.0,4.0,0,56.0,0,-3.1,4.2999997,1
ITG,IT,3.6666666666666665,Valid Party Vote,0.0,3.0,4.0,0,43.0,1,-5.1000004,6.5,0
ITI,IT,4.333333333333333,Valid Party Vote,1.0,4.0,3.0,0,50.0,0,-3.1,4.2999997,1
ITF,IT,5.333333333333333,Valid Party Vote,0.0,5.0,4.0,1,44.0,0,-5.0,9.4,0
ITI,IT,4.0,Ineligible / Not Applicable,,5.0,2.0,1,61.0,0,-3.1,4.2999997,1
ITF,IT,5.0,Valid Party Vote,0.0,6.0,7.0,1,51.0,0,-5.0,9.4,0
ITC,IT,4.333333333333333,Valid Party Vote,1.0,0.0,2.0,0,69.0,0,-1.9000001,5.5,1
ITG,IT,2.0,Ineligible / Not Applicable,,6.0,4.0,1,49.0,1,-5.1000004,6.5,0
ITC,IT,6.666666666666667,Valid Party Vote,0.0,6.0,4.0,0,62.0,0,-1.9000001,5.5,1
ITH,IT,5.0,Valid Party Vote,1.0,2.0,4.0,0,74.0,-1,-1.8000002,4.3999996,1
ITC,IT,3.6666666666666665,Valid Party Vote,0.0,7.0,3.0,1,64.0,0,-1.9000001,5.5,1
ITC,IT,4.0,Valid Party Vote,0.0,6.0,4.0,0,70.0,0,-1.9000001,5.5,1
ITG,IT,1.3333333333333333,Refuse to Say,,3.0,3.0,1,25.0,1,-5.1000004,6.5,0
ITC,IT,6.0,Valid Party Vote,1.0,1.0,2.0,0,62.0,0,-1.9000001,5.5,1
ITC,IT,7.0,Valid Party Vote,1.0,4.0,7.0,1,46.0,0,-1.9000001,5.5,1
ITF,IT,0.3333333333333333,Ineligible / Not Applicable,,5.0,2.0,1,58.0,0,-5.0,9.4,0
ITH,IT,7.0,Valid Party Vote,0.0,7.0,7.0,1,43.0,-1,-1.8000002,4.3999996,1
ITC,IT,5.0,Valid Party Vote,1.0,3.0,2.0,0,64.0,0,-1.9000001,5.5,1
ITG,IT,3.6666666666666665,Refuse to Say,,4.0,4.0,1,64.0,1,-5.1000004,6.5,0
ITC,IT,6.333333333333333,Valid Party Vote,0.0,5.0,4.0,0,63.0,0,-1.9000001,5.5,1
ITF,IT,2.0,Ineligible / Not Applicable,,7.0,3.0,1,74.0,0,-5.0,9.4,0
ITI,IT,2.6666666666666665,Ineligible / Not Applicable,,7.0,2.0,0,18.0,0,-3.1,4.2999997,1
ITC,IT,6.0,Valid Party Vote,0.0,6.0,7.0,1,35.0,0,-1.9000001,5.5,1
ITC,IT,4.0,Valid Party Vote,0.0,0.0,1.0,1,83.0,0,-1.9000001,5.5,1
ITH,IT,8.0,Valid Party Vote,0.0,6.0,1.0,1,76.0,-1,-1.8000002,4.3999996,1
ITH,IT,4.0,Valid Party Vote,0.0,6.0,4.0,1,53.0,-1,-1.8000002,4.3999996,1
ITC,IT,4.666666666666667,Valid Party Vote,0.0,6.0,5.0,0,44.0,0,-1.9000001,5.5,1
ITF,IT,6.0,Valid Party Vote,0.0,5.0,1.0,0,83.0,0,-5.0,9.4,0
ITI,IT,5.0,Valid Party Vote,0.0,0.0,6.0,0,28.0,0,-3.1,4.2999997,1
ITI,IT,5.666666666666667,Valid Party Vote,0.0,6.0,7.0,1,83.0,0,-3.1,4.2999997,1
ITC,IT,1.0,Refuse to Say,,5.0,7.0,0,35.0,0,-1.9000001,5.5,1
ITF,IT,2.0,Valid Party Vote,0.0,5.0,4.0,0,37.0,0,-5.0,9.4,0
ITF,IT,5.666666666666667,Valid Party Vote,0.0,6.0,7.0,0,48.0,0,-5.0,9.4,0
ITC,IT,3.3333333333333335,Valid Party Vote,1.0,0.0,3.0,1,61.0,0,-1.9000001,5.5,1
ITF,IT,2.6666666666666665,Valid Party Vote,0.0,4.0,2.0,0,55.0,0,-5.0,9.4,0
ITG,IT,5.666666666666667,Refuse to Say,,4.0,2.0,0,71.0,1,-5.1000004,6.5,0
ITC,IT,7.333333333333333,Valid Party Vote,0.0,6.0,6.0,0,45.0,0,-1.9000001,5.5,1
ITC,IT,2.6666666666666665,Ineligible / Not Applicable,,5.0,4.0,1,29.0,0,-1.9000001,5.5,1
