nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
EL5,GR,2.6666666666666665,Ineligible / Not Applicable,,2.0,4.0,0,19.0,0,-8.2,3.4,0
EL5,GR,4.666666666666667,Valid Party Vote,0.0,5.0,2.0,1,64.0,0,-8.2,3.4,0
EL3,GR,4.666666666666667,Valid Party Vote,0.0,3.0,4.0,0,61.0,1,-11.6,-0.5,4
EL6,GR,4.333333333333333,Valid Party Vote,0.0,3.0,4.0,0,59.0,1,-7.300001,1.2,0
EL4,GR,1.3333333333333333,Valid Party Vote,0.0,3.0,2.0,1,51.0,-3,-6.3999996,0.3,0
EL3,GR,1.6666666666666667,Valid Party Vote,1.0,3.0,1.0,0,64.0,1,-11.6,-0.5,4
EL6,GR,3.0,Ineligible / Not Applicable,,3.0,4.0,1,56.0,1,-7.300001,1.2,0
EL3,GR,6.0,Refuse to Say,,4.0,3.0,1,66.0,1,-11.6,-0.5,4
EL6,GR,6.0,Valid Party Vote,0.0,5.0,4.0,0,50.0,1,-7.300001,1.2,0
EL6,GR,5.333333333333333,Valid Party Vote,0.0,5.0,4.0,0,30.0,1,-7.300001,1.2,0
EL5,GR,3.0,Valid Party Vote,0.0,5.0,6.0,1,52.0,0,-8.2,3.4,0
EL3,GR,3.0,Refuse to Say,,3.0,4.0,1,77.0,1,-11.6,-0.5,4
EL3,GR,4.0,Ineligible / Not Applicable,,2.0,4.0,0,65.0,1,-11.6,-0.5,4
EL3,GR,3.0,Valid Party Vote,0.0,8.0,4.0,1,20.0,1,-11.6,-0.5,4
EL6,GR,4.0,Valid Party Vote,0.0,2.0,6.0,1,77.0,1,-7.300001,1.2,0
EL4,GR,0.6666666666666666,Valid Party Vote,0.0,0.0,2.0,0,45.0,-3,-6.3999996,0.3,0
EL5,GR,5.333333333333333,Valid Party Vote,1.0,5.0,4.0,0,59.0,0,-8.2,3.4,0
EL5,GR,4.333333333333333,Valid Party Vote,0.0,3.0,4.0,1,65.0,0,-8.2,3.4,0
EL3,GR,3.6666666666666665,Valid Party Vote,0.0,9.0,4.0,1,41.0,1,-11.6,-0.5,4
EL5,GR,3.3333333333333335,Valid Party Vote,0.0,2.0,4.0,1,48.0,0,-8.2,3.4,0
EL3,GR,2.0,Ineligible / Not Applicable,,0.0,4.0,1,64.0,1,-11.6,-0.5,4
EL3,GR,1.3333333333333333,Ineligible / Not Applicable,,1.0,4.0,0,55.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,5.0,4.0,1,55.0,0,-8.2,3.4,0
EL3,GR,7.0,Valid Party Vote,0.0,4.0,4.0,1,31.0,1,-11.6,-0.5,4
EL6,GR,5.0,Ineligible / Not Applicable,,10.0,2.0,1,17.0,1,-7.300001,1.2,0
EL5,GR,6.333333333333333,Valid Party Vote,0.0,3.0,1.0,1,66.0,0,-8.2,3.4,0
EL3,GR,1.6666666666666667,Valid Party Vote,0.0,1.0,4.0,1,70.0,1,-11.6,-0.5,4
